colorName,colorPath
#700BAD,/Users/pavlovski/Documents/resources/immersive/code/41 - Q1 Project/images/batch/data/#700bad.png
#DADB0D,/Users/pavlovski/Documents/resources/immersive/code/41 - Q1 Project/images/batch/data/#dadb0d.png
#FA7A55,/Users/pavlovski/Documents/resources/immersive/code/41 - Q1 Project/images/batch/data/#fa7a55.png
#E7CE7C,/Users/pavlovski/Documents/resources/immersive/code/41 - Q1 Project/images/batch/data/#e7ce7c.png
#101CA7,/Users/pavlovski/Documents/resources/immersive/code/41 - Q1 Project/images/batch/data/#101ca7.png
#BADCA7,/Users/pavlovski/Documents/resources/immersive/code/41 - Q1 Project/images/batch/data/#badca7.png
#A55E1F,/Users/pavlovski/Documents/resources/immersive/code/41 - Q1 Project/images/batch/data/#a55e1f.png
#1DCD1E,/Users/pavlovski/Documents/resources/immersive/code/41 - Q1 Project/images/batch/data/#1dcd1e.png
#CA7BFF,/Users/pavlovski/Documents/resources/immersive/code/41 - Q1 Project/images/batch/data/#ca7bff.png
#BADB01,/Users/pavlovski/Documents/resources/immersive/code/41 - Q1 Project/images/batch/data/#badb01.png
#B1E55D,/Users/pavlovski/Documents/resources/immersive/code/41 - Q1 Project/images/batch/data/#b1e55d.png
#B000B5,/Users/pavlovski/Documents/resources/immersive/code/41 - Q1 Project/images/batch/data/#b000b5.png
#DAB055,/Users/pavlovski/Documents/resources/immersive/code/41 - Q1 Project/images/batch/data/#dab055.png
#DEFEC7,/Users/pavlovski/Documents/resources/immersive/code/41 - Q1 Project/images/batch/data/#defec7.png
#AC1D1C,/Users/pavlovski/Documents/resources/immersive/code/41 - Q1 Project/images/batch/data/#ac1d1c.png
#BAB1E5,/Users/pavlovski/Documents/resources/immersive/code/41 - Q1 Project/images/batch/data/#bab1e5.png
#BADA55,/Users/pavlovski/Documents/resources/immersive/code/41 - Q1 Project/images/batch/data/#bada55.png
#BA51C5,/Users/pavlovski/Documents/resources/immersive/code/41 - Q1 Project/images/batch/data/#ba51c5.png
#B1A5ED,/Users/pavlovski/Documents/resources/immersive/code/41 - Q1 Project/images/batch/data/#b1a5ed.png
#ADD1C7,/Users/pavlovski/Documents/resources/immersive/code/41 - Q1 Project/images/batch/data/#add1c7.png
#DEFEA7,/Users/pavlovski/Documents/resources/immersive/code/41 - Q1 Project/images/batch/data/#defea7.png
#EFFEC7,/Users/pavlovski/Documents/resources/immersive/code/41 - Q1 Project/images/batch/data/#effec7.png
#0DDE57,/Users/pavlovski/Documents/resources/immersive/code/41 - Q1 Project/images/batch/data/#0dde57.png
#0FF5E7,/Users/pavlovski/Documents/resources/immersive/code/41 - Q1 Project/images/batch/data/#0ff5e7.png
#01DE57,/Users/pavlovski/Documents/resources/immersive/code/41 - Q1 Project/images/batch/data/#01de57.png
#5AD157,/Users/pavlovski/Documents/resources/immersive/code/41 - Q1 Project/images/batch/data/#5ad157.png
#5AFE57,/Users/pavlovski/Documents/resources/immersive/code/41 - Q1 Project/images/batch/data/#5afe57.png
#5E1EC7,/Users/pavlovski/Documents/resources/immersive/code/41 - Q1 Project/images/batch/data/#5e1ec7.png
#B00B00,/Users/pavlovski/Documents/resources/immersive/code/41 - Q1 Project/images/batch/data/#b00b00.png
#C105ED,/Users/pavlovski/Documents/resources/immersive/code/41 - Q1 Project/images/batch/data/#c105ed.png
#B055E5,/Users/pavlovski/Documents/resources/immersive/code/41 - Q1 Project/images/batch/data/#b055e5.png
#DABB1E,/Users/pavlovski/Documents/resources/immersive/code/41 - Q1 Project/images/batch/data/#dabb1e.png
#DEC0DE,/Users/pavlovski/Documents/resources/immersive/code/41 - Q1 Project/images/batch/data/#dec0de.png
#D0AB1E,/Users/pavlovski/Documents/resources/immersive/code/41 - Q1 Project/images/batch/data/#d0ab1e.png
#D00D1E,/Users/pavlovski/Documents/resources/immersive/code/41 - Q1 Project/images/batch/data/#d00d1e.png
#FAECE5,/Users/pavlovski/Documents/resources/immersive/code/41 - Q1 Project/images/batch/data/#faece5.png
#FE11A5,/Users/pavlovski/Documents/resources/immersive/code/41 - Q1 Project/images/batch/data/#fe11a5.png
#1AD1E5,/Users/pavlovski/Documents/resources/immersive/code/41 - Q1 Project/images/batch/data/#1ad1e5.png
#F001ED,/Users/pavlovski/Documents/resources/immersive/code/41 - Q1 Project/images/batch/data/#f001ed.png
#0B5E55,/Users/pavlovski/Documents/resources/immersive/code/41 - Q1 Project/images/batch/data/#0b5e55.png
#501ACE,/Users/pavlovski/Documents/resources/immersive/code/41 - Q1 Project/images/batch/data/#501ace.png
#C0FFEE,/Users/pavlovski/Documents/resources/immersive/code/41 - Q1 Project/images/batch/data/#c0ffee.png
#50C001,/Users/pavlovski/Documents/resources/immersive/code/41 - Q1 Project/images/batch/data/#50c001.png
#DABE57,/Users/pavlovski/Documents/resources/immersive/code/41 - Q1 Project/images/batch/data/#dabe57.png
#DABABE,/Users/pavlovski/Documents/resources/immersive/code/41 - Q1 Project/images/batch/data/#dababe.png
#1CE7EA,/Users/pavlovski/Documents/resources/immersive/code/41 - Q1 Project/images/batch/data/#1ce7ea.png
#DEBA7E,/Users/pavlovski/Documents/resources/immersive/code/41 - Q1 Project/images/batch/data/#deba7e.png
